Title,Date_of_Release,Genre,Plot_summary,ImDBRating,Votes,Age_of_content,Crew_dir,Cast_stars,Plot_Keywords
Zamaane Ko Dikhana Hai,1981,"Romance, Thriller            ","Industrialist SK Nanda had thrown his son Ramesh out of the house as he wanted to marry a poor girl 10 years later his son Ravi returns from abroad and convinces him to get Ramesh back,Ravi...                See full summary »",6.8,154,40,Nasir Hussain,"Rishi Kapoor, Padmini Kolhapure, Amjad Khan, Yogeeta Bali","['industrialist', 'sk', 'nanda', 'thrown', 'son', 'ramesh', 'house', 'wanted', 'marry', 'poor', 'girl', '10', 'years', 'later', 'son', 'ravi', 'returns', 'abroad', 'convinces', 'get', 'ramesh', 'back,ravi...', 'see', 'full', 'summary', '»']"
Azaad,1955,"Action, Adventure, Comedy            ","After her widower dad, Kedarnath, passes away, Shobha goes to live with his friend, Charandas, and his wife, Shanta, who had their son go missing as a child. Years later Shobha is now ...                See full summary »",7.2,154,66,Sriramulu Naidu S.M.,"Dilip Kumar, Meena Kumari, Pran, Raj Mehra","['widower', 'dad,', 'kedarnath,', 'passes', 'away,', 'shobha', 'goes', 'live', 'friend,', 'charandas,', 'wife,', 'shanta,', 'son', 'go', 'missing', 'child.', 'years', 'later', 'shobha', '...', 'see', 'full', 'summary', '»']"
Daayen Ya Baayen,2010,"Comedy, Drama, Family            ",An impoverished village school-teacher's problems mount after winning a car.,6.3,153,11,Bela Negi,"Deepak Dobriyal, Manav Kaul, Badrul Islam, Bharti Bhatt","['impoverished', 'village', ""school-teacher's"", 'problems', 'mount', 'winning', 'car.']"
Paisa Vasool,2004,"Action, Comedy, Crime            ",A struggling actress and her divorcee roommate attempt to blackmail a notorious thief they accidentally overhear confessing a robbery to his girlfriend. Their attempts at extortion begin to unravel when the robbers refuse to play along.,4.1,153,17,Srinivas Bhashyam,"Manisha Koirala, Sushmita Sen, Sushant Singh, Mukesh Ahuja","['struggling', 'actress', 'divorcee', 'roommate', 'attempt', 'blackmail', 'notorious', 'thief', 'accidentally', 'overhear', 'confessing', 'robbery', 'girlfriend.', 'attempts', 'extortion', 'begin', 'unravel', 'robbers', 'refuse', 'play', 'along.']"
Chakra,1981,Action            ,"Amma lives in Bijapur with her husband and son, Benwa. When a man attempts to sexually molest her, he is killed by her husband, the trio flee, but the husband is shot dead by the police. ...                See full summary »",6.8,153,40,Rabindra Dharmaraj,"Savita Bajaj, Arun Bakshi, Suresh Bhagwat, Suhas Bhalekar","['amma', 'lives', 'bijapur', 'husband', 'son,', 'benwa.', 'man', 'attempts', 'sexually', 'molest', 'her,', 'killed', 'husband,', 'trio', 'flee,', 'husband', 'shot', 'dead', 'police.', '...', 'see', 'full', 'summary', '»']"
Parineeta,1953,"Drama, Romance            ",Love blossoms between the son of wealthy man and his middle class neighbor. But their romance is put to the test both by a feud between the families and by the entrance of a rival for the girl's affection.,6.9,153,68,Bimal Roy,"Ashok Kumar, Meena Kumari, Asitbaran, Sheila Kashmiri","['love', 'blossoms', 'son', 'wealthy', 'man', 'middle', 'class', 'neighbor.', 'romance', 'put', 'test', 'feud', 'families', 'entrance', 'rival', ""girl's"", 'affection.']"
Saansein: The Last Breath,2016,"Horror, Romance            ","Shirin, a singer mysteriously disappears. Abhay looks for Shirin and tries to solve this mysterious incident.",3.1,152,5,Rajiv S. Ruia,"Sonarika Bhadoria, Aamir Dalvi, Rajniesh Duggall, Vishal Malhotra","['shirin,', 'singer', 'mysteriously', 'disappears.', 'abhay', 'looks', 'shirin', 'tries', 'solve', 'mysterious', 'incident.']"
Yeh Zindagi Ka Safar,2001,"Drama, Romance            ",A singer finds out she was adopted when the editor of a struggling tabloid publishes the story.,3.0,152,20,Tanuja Chandra,"Ameesha Patel, Jimmy Sheirgill, Nafisa Ali, Gulshan Grover","['singer', 'finds', 'adopted', 'editor', 'struggling', 'tabloid', 'publishes', 'story.']"
Udaan,1997,"Action, Crime, Drama            ","A wealthy industrialist who refuses to doctor his product is killed by his corrupt business partners (the great trio of Danny Denzongpa, Dilip Tahil, and Prem Chopra), and his share of the ...                See full summary »",4.7,152,24,Asrani,"Rekha, Saif Ali Khan, Madhoo, Prem Chopra","['wealthy', 'industrialist', 'refuses', 'doctor', 'product', 'killed', 'corrupt', 'business', 'partners', '(the', 'great', 'trio', 'danny', 'denzongpa,', 'dilip', 'tahil,', 'prem', 'chopra),', 'share', '...', 'see', 'full', 'summary', '»']"
Aadmi Khilona Hai,1993,"Drama, Romance            ","The Verma family consists of two brothers, Vijay and Sharad (Jeetendra and Govinda respectively), Vijay's wife, Ganga (Reena Roy), and their daughter. Sharad is unmarried and is studying in...                See full summary »",5.0,152,28,J. Om Prakash,"Jeetendra, Reena Roy, Govinda, Meenakshi Sheshadri","['verma', 'family', 'consists', 'two', 'brothers,', 'vijay', 'sharad', '(jeetendra', 'govinda', 'respectively),', ""vijay's"", 'wife,', 'ganga', '(reena', 'roy),', 'daughter.', 'sharad', 'unmarried', 'studying', 'in...', 'see', 'full', 'summary', '»']"
Hifazat,1987,"Drama, Family            ","After Laxmi has had three still-births, her husband, Satyaprakash and his mother are afraid she will not be able to give any more births, and therefore there will be no one to carry the ...                See full summary »",5.3,152,34,Prayag Raj,"Ashok Kumar, Nutan, Anil Kapoor, Madhuri Dixit","['laxmi', 'three', 'still-births,', 'husband,', 'satyaprakash', 'mother', 'afraid', 'able', 'give', 'births,', 'therefore', 'one', 'carry', '...', 'see', 'full', 'summary', '»']"
Inaam Dus Hazaar,1987,"Action, Comedy, Romance            ",A gang of jewel thieves mistakes a salesman for a CID officer and frames him for murder. He then goes on the run to prove his innocence.,6.0,151,34,Jyotin Goel,"Sanjay Dutt, Meenakshi Sheshadri, Amrish Puri, Gulshan Grover","['gang', 'jewel', 'thieves', 'mistakes', 'salesman', 'cid', 'officer', 'frames', 'murder.', 'goes', 'run', 'prove', 'innocence.']"
Ananda Ashram,1977,"Drama, Family            ",A wealthy man from upper-class lineage marries a Christian violating his father's family prestige.,7.1,151,44,Shakti Samanta,"Ashok Kumar, Uttam Kumar, Sharmila Tagore, Rakesh Roshan","['wealthy', 'man', 'upper-class', 'lineage', 'marries', 'christian', 'violating', ""father's"", 'family', 'prestige.']"
Samundar,1986,"Action, Crime, Drama            ",Honest police officer Surajbhan would like Rajeshwar Nath to provide all the material documents that can prove Raiszada Narsingh is a hardcore criminal. When Raiszada learns of this through...                See full summary »,5.5,151,35,Rahul Rawail,"Sunny Deol, Poonam Dhillon, Anupam Kher, Roshni","['honest', 'police', 'officer', 'surajbhan', 'would', 'like', 'rajeshwar', 'nath', 'provide', 'material', 'documents', 'prove', 'raiszada', 'narsingh', 'hardcore', 'criminal.', 'raiszada', 'learns', 'through...', 'see', 'full', 'summary', '»']"
Naukar Biwi Ka,1983,"Action, Drama, Comedy            ","Jagirdar Bishamber Nath a wealthy man disowns his son, police inspector Amar Nath for marrying against his wishes. In the course of his duties Amar sends a notorious criminal Pinto to jail....                See full summary »",6.3,151,38,Rajkumar Kohli,"Agha, Rajeev Anand, Raj Babbar, Brahmachari","['jagirdar', 'bishamber', 'nath', 'wealthy', 'man', 'disowns', 'son,', 'police', 'inspector', 'amar', 'nath', 'marrying', 'wishes.', 'course', 'duties', 'amar', 'sends', 'notorious', 'criminal', 'pinto', 'jail....', 'see', 'full', 'summary', '»']"
Disha,1992,"Comedy, Drama, Musical            ","The Sarpat family, who live in Bhukari, consist of Parsaram, who has been involved in digging a well for the past over 12 years and is now called 'Pagal Parsa'; his brother, Soma, who gets ...                See full summary »",7.0,151,29,Sai Paranjape,"Shabana Azmi, Nana Patekar, Raghuvir Yadav, Rajshree Sawant","['sarpat', 'family,', 'live', 'bhukari,', 'consist', 'parsaram,', 'involved', 'digging', 'well', 'past', '12', 'years', 'called', ""'pagal"", ""parsa';"", 'brother,', 'soma,', 'gets', '...', 'see', 'full', 'summary', '»']"
Shor Se Shuruaat,2016,Drama            ,"""Shor Se Shuruaat"" is an omnibus feature of mentored short films, around the central theme of ""Shor""- noise. These films have been made by budding directors, mentored by some of India's leading filmmakers.",6.7,150,5,"s:Amira Bhargava, Rahul V. Chittella, Satish Raj Kasireddi, Pratik Kothari, Arunima Sharma, Supriya Sharma, Annie Zaidi","Rasika Dugal, Saurabh Goyal, Suyash Joshi, Atul Kulkarni","['""shor', 'se', 'shuruaat""', 'omnibus', 'feature', 'mentored', 'short', 'films,', 'around', 'central', 'theme', '""shor""-', 'noise.', 'films', 'made', 'budding', 'directors,', 'mentored', ""india's"", 'leading', 'filmmakers.']"
A Scandall,2016,Thriller            ,"A film school graduate is interested in making a movie about his girlfriend's uncle, who claims that he can see his long-dead daughter.",3.0,150,5,Ishaan Trivedi,"Johnny Baweja, Reeth Mazumder-Roberts, Manav Kaul, Puru Chibber","['film', 'school', 'graduate', 'interested', 'making', 'movie', ""girlfriend's"", 'uncle,', 'claims', 'see', 'long-dead', 'daughter.']"
Sultanat,2014,"Action, Crime, Drama            ",This is an action/crime feature movie revised by a series of crime plots taking place under criminals in order to mark their power in the underworld. The movies follows conspiracies against...                See full summary »,6.0,150,7,Syed Faisal Bukhari,"Javeria Abbasi, Raheela Agha, Haroon Ashraf, Aslam Bhatti","['action/crime', 'feature', 'movie', 'revised', 'series', 'crime', 'plots', 'taking', 'place', 'criminals', 'order', 'mark', 'power', 'underworld.', 'movies', 'follows', 'conspiracies', 'against...', 'see', 'full', 'summary', '»']"
Sitaramaraju,1999,"Action, Drama, Romance            ",Add a Plot,5.7,150,22,Y.V.S. Chowdary,"Nagarjuna Akkineni, Harikrishna Nandamuri, Sakshi Shivanand, Sanghavi","['add', 'plot']"
Navrang,1959,"Drama, Musical, Romance            ",Diwakar is a poet and loves his wife Jamuna more than anything. But Jamuna feels that Diwakar lives in a fantasy world and is irresponsible in the real world. Diwakar creates a muse from ...                See full summary »,6.5,150,62,Shantaram Rajaram Vankudre,"Sandhya, Mahipal, Keshavrao Date, Baburao Pendharkar","['diwakar', 'poet', 'loves', 'wife', 'jamuna', 'anything.', 'jamuna', 'feels', 'diwakar', 'lives', 'fantasy', 'world', 'irresponsible', 'real', 'world.', 'diwakar', 'creates', 'muse', '...', 'see', 'full', 'summary', '»']"
Ghaath,2000,"Crime, Drama, Thriller            ","Krishna Patil is a poor, unemployed, unsuccessful and short tempered youth who stays in a chawl with his father Ramakant and elder sister Mansi. He tries to secure a job in the police ...                See full summary »",4.7,150,21,Akashdeep,"Manoj Bajpayee, Tabu, Om Puri, Anupam Kher","['krishna', 'patil', 'poor,', 'unemployed,', 'unsuccessful', 'short', 'tempered', 'youth', 'stays', 'chawl', 'father', 'ramakant', 'elder', 'sister', 'mansi.', 'tries', 'secure', 'job', 'police', '...', 'see', 'full', 'summary', '»']"
Raaz,1967,"Thriller, Mystery            ","Kumar, though of Indian origin, lives in Africa. He has recurring dreams of a Railway Station in India called ""Viran Nagar"". He decides to find for himself and travels to India along with ...                See full summary »",6.2,150,54,Ravindra Dave,"Rajesh Khanna, Babita Kapoor, I.S. Johar, Khurshid","['kumar,', 'though', 'indian', 'origin,', 'lives', 'africa.', 'recurring', 'dreams', 'railway', 'station', 'india', 'called', '""viran', 'nagar"".', 'decides', 'find', 'travels', 'india', 'along', '...', 'see', 'full', 'summary', '»']"
Tadipaar,1993,"Action, Drama            ","After getting into a violent confrontation, Shankar is arrested by the Police, tried in Court, sentenced to live outside the limits of the city, and must present himself at the nearest ...                See full summary »",4.6,150,28,Mahesh Bhatt,"Mithun Chakraborty, Pooja Bhatt, Anupam Kher, Avtar Gill","['getting', 'violent', 'confrontation,', 'shankar', 'arrested', 'police,', 'tried', 'court,', 'sentenced', 'live', 'outside', 'limits', 'city,', 'must', 'present', 'nearest', '...', 'see', 'full', 'summary', '»']"
Sapne Saajan Ke,1992,"Drama, Romance            ","Shalini wants her daughter, Jyoti, to get married with son of a wealthy man, Gulu. But Jyoti doesn't like Gulu. She meets Deepak and both fall in love. Shalini approves this match of Jyoti ...                See full summary »",3.3,150,29,"""    Director:Lawrence D'Souza""","Jackie Shroff, Dimple Kapadia, Karisma Kapoor, Rahul Roy","['shalini', 'wants', 'daughter,', 'jyoti,', 'get', 'married', 'son', 'wealthy', 'man,', 'gulu.', 'jyoti', 'like', 'gulu.', 'meets', 'deepak', 'fall', 'love.', 'shalini', 'approves', 'match', 'jyoti', '...', 'see', 'full', 'summary', '»']"
Dharam Karam,1975,"Family, Drama            ","Shankar is a hoodlum who lives in a shanty hut with his pregnant wife, Kanta, and makes a living as a career criminal. He prays to Lord Shiv that if he is blessed with a male child, he will...                See full summary »",6.0,150,46,Randhir Kapoor,"Raj Kapoor, Randhir Kapoor, Rekha, Prem Nath","['shankar', 'hoodlum', 'lives', 'shanty', 'hut', 'pregnant', 'wife,', 'kanta,', 'makes', 'living', 'career', 'criminal.', 'prays', 'lord', 'shiv', 'blessed', 'male', 'child,', 'will...', 'see', 'full', 'summary', '»']"
Sadhu Aur Shaitaan,1968,"Comedy, Thriller            ",Sher Khan robs a bank and the blame is put on Sadhuram. Sher Khan alias Dilawar Khan gets killed and his body is found in Bajrang's taxi. Both Sadhuram and Bajrang are on the run from the police.,6.7,150,53,A. Bhimsingh,"Mehmood, Bharathi, Kishore Kumar, Pran","['sher', 'khan', 'robs', 'bank', 'blame', 'put', 'sadhuram.', 'sher', 'khan', 'alias', 'dilawar', 'khan', 'gets', 'killed', 'body', 'found', ""bajrang's"", 'taxi.', 'sadhuram', 'bajrang', 'run', 'police.']"
Hanuman Da' Damdaar,2017,"Animation, Family            ","Anjani has not forgotten how her son almost lost his life. Now to protect him, she shelters him in a bid to keep him from harming himself again. She doesn't even allow him to go out of the ...                See full summary »",5.4,149,4,Ruchi Narain,"Salman Khan, Sunny Deol, Raveena Tandon, Javed Akhtar","['anjani', 'forgotten', 'son', 'almost', 'lost', 'life.', 'protect', 'him,', 'shelters', 'bid', 'keep', 'harming', 'again.', 'even', 'allow', 'go', '...', 'see', 'full', 'summary', '»']"
Ishk Actually,2013,Romance            ,"Gia is at a crossroads in her life, with the arrows pointing towards Neil in one direction and Kabir in the opposite direction. She grapples with making a decision as she's torn between the...                See full summary »",2.6,149,8,Anish Khanna,"Neha Ahuja, Raayo S. Bakhirta, Neha Ghelot, Rajeev Khandelwal","['gia', 'crossroads', 'life,', 'arrows', 'pointing', 'towards', 'neil', 'one', 'direction', 'kabir', 'opposite', 'direction.', 'grapples', 'making', 'decision', 'torn', 'the...', 'see', 'full', 'summary', '»']"
Bandook,2013,"Crime, Thriller            ","In the lawless interiors of India, particularly around Gangetic planes, guns are the surest way to fame, power, money and women.",5.9,149,8,Aditya Om,"Manisha Kelkar, Arshad Khan, Ashish Kotwal, Aditya Om","['lawless', 'interiors', 'india,', 'particularly', 'around', 'gangetic', 'planes,', 'guns', 'surest', 'way', 'fame,', 'power,', 'money', 'women.']"
Kanoon,1994,"Action, Drama            ",An evil landowner kills the family of a judge for sentencing him. But the judge's son misses the attack and plans his revenge.,3.1,149,27,Sushma Shiromani,"Ajay Devgn, Urmila Matondkar, Kiran Kumar, Gulshan Grover","['evil', 'landowner', 'kills', 'family', 'judge', 'sentencing', 'him.', ""judge's"", 'son', 'misses', 'attack', 'plans', 'revenge.']"
Police Public,1990,"Crime, Thriller            ","After several inspectors are unable to find the truth behind the murder of a woman, Jagmohan, an honest CBI officer, is assigned the case.",6.6,149,31,Esmayeel Shroff,"Vijay Aidasani, Jayshree Arora, Ila Arun, Kabir Bedi","['several', 'inspectors', 'unable', 'find', 'truth', 'behind', 'murder', 'woman,', 'jagmohan,', 'honest', 'cbi', 'officer,', 'assigned', 'case.']"
Chudail Story,2016,"Horror, Thriller            ",A seductive witch kills men by casting a spell on them. A bunch of friends are trapped in a haunted house with mysterious lady. Is she the Chudail?,2.4,148,5,Surya Lakkoju,"Preeti Soni, Amal Sherawat, Nidhi Bhardwaj, Menaka Lalwani","['seductive', 'witch', 'kills', 'men', 'casting', 'spell', 'them.', 'bunch', 'friends', 'trapped', 'haunted', 'house', 'mysterious', 'lady.', 'chudail?']"
Shabri,2011,"Action, Crime, Drama            ",An impoverished woman faces off against gangsters as well as the police after her brother is killed.,5.7,148,10,Lalit Marathe,"Isha Koppikar, Raj Arjun, Manish Wadhwa, Pradeep Singh Rawat","['impoverished', 'woman', 'faces', 'gangsters', 'well', 'police', 'brother', 'killed.']"
Shriman Shrimati,1982,"Comedy, Drama, Family            ","A rich and wealthy couple, Shankarlal and Parvati (Sanjeev Kumar & Raakhee) are appalled at the problems of the world, especially in households, so they decide to try and make things right ...                See full summary »",6.4,148,39,Vijay Reddy,"Sanjeev Kumar, Rakhee Gulzar, Rakesh Roshan, Deepti Naval","['rich', 'wealthy', 'couple,', 'shankarlal', 'parvati', '(sanjeev', 'kumar', '&', 'raakhee)', 'appalled', 'problems', 'world,', 'especially', 'households,', 'decide', 'try', 'make', 'things', 'right', '...', 'see', 'full', 'summary', '»']"
Ghazab,1982,"Action, Comedy, Drama            ","Ajay alias Munna Babu is a semi-senile, gentle but naive young man who has a wealthy family estate. His employees and alleged well-wishers (Arjun Singh, Jatha Shankar, Munishi Gurbachan, ...                See full summary »",6.8,148,39,C.P. Dixit,"Seema Deo, Dharmendra, Krishan Dhawan, Aruna Irani","['ajay', 'alias', 'munna', 'babu', 'semi-senile,', 'gentle', 'naive', 'young', 'man', 'wealthy', 'family', 'estate.', 'employees', 'alleged', 'well-wishers', '(arjun', 'singh,', 'jatha', 'shankar,', 'munishi', 'gurbachan,', '...', 'see', 'full', 'summary', '»']"
Annarth,2002,"Action, Crime, Drama            ","Arch killer, Jai alias Jimmy usually follows instructions from his elder brother, Raghav who owes intelligence to an underworld don named Dayal Bhai. Jimmy whole-heartily trusts his ...                See full summary »",3.1,148,19,Ravi Dewan,"Sanjay Dutt, Sunil Shetty, Ashutosh Rana, Preeti Jhangiani","['arch', 'killer,', 'jai', 'alias', 'jimmy', 'usually', 'follows', 'instructions', 'elder', 'brother,', 'raghav', 'owes', 'intelligence', 'underworld', 'named', 'dayal', 'bhai.', 'jimmy', 'whole-heartily', 'trusts', '...', 'see', 'full', 'summary', '»']"
Vadh,2002,"Mystery, Thriller            ","Dr. Arjun Singh (Nana Patekar) is a leading doctor specializing in psycology. His wife Jyoti (Anupama Verma) is much younger in age than him. Not completely fulfilled, this leads her to ...                See full summary »",6.1,148,19,"s:Raj Bharat, Nana Patekar, Rajesh Kumar Singh","Nana Patekar, Anupama Verma, Puru Rajkumar, Nakhul","['dr.', 'arjun', 'singh', '(nana', 'patekar)', 'leading', 'doctor', 'specializing', 'psycology.', 'wife', 'jyoti', '(anupama', 'verma)', 'much', 'younger', 'age', 'him.', 'completely', 'fulfilled,', 'leads', '...', 'see', 'full', 'summary', '»']"
Jagriti,1955,"Comedy, Drama, Family            ","Sent to a hostel as a punishment, a rebellious lad leads a revolt and creates havoc in the institution.",6.8,148,66,Satyen Bose,"Abhi Bhattacharya, Pranoti Ghosh, Bipin Gupta, Mumtaz Begum","['sent', 'hostel', 'punishment,', 'rebellious', 'lad', 'leads', 'revolt', 'creates', 'havoc', 'institution.']"
Tarana,1951,"Drama, Romance            ","A young doctor returning home from abroad is stranded in a village as his plane develops trouble and crashes. He meets and falls in love with a beautiful local village girl, who happens to ...                See full summary »",7.1,148,70,Ram Daryani,"Madhubala, Dilip Kumar, Shyama, Jeevan","['young', 'doctor', 'returning', 'home', 'abroad', 'stranded', 'village', 'plane', 'develops', 'trouble', 'crashes.', 'meets', 'falls', 'love', 'beautiful', 'local', 'village', 'girl,', 'happens', '...', 'see', 'full', 'summary', '»']"
Arvind Desai Ki Ajeeb Dastaan,1978,Drama            ,"Arvind Desai is the only son of a rich businessman who deals in luxury handicraft products. His feelings for his father are mixed. While he hates his dominating nature, he admires his power and lack of scruples.",6.9,148,43,Saeed Akhtar Mirza,"Dilip Dhawan, Anjali Paigankar, Shreeram Lagoo, Sudha Shivpuri","['arvind', 'desai', 'son', 'rich', 'businessman', 'deals', 'luxury', 'handicraft', 'products.', 'feelings', 'father', 'mixed.', 'hates', 'dominating', 'nature,', 'admires', 'power', 'lack', 'scruples.']"
Hukumat,1987,"Action, Drama            ","A tough cop is posted to a small town where an evil businessman reigns like a tyrant. When the cop recognizes the businessman as his father's murderer, it becomes personal.",6.1,147,34,Anil Sharma,"Dharmendra, Rati Agnihotri, Shammi Kapoor, Sadashiv Amrapurkar","['tough', 'cop', 'posted', 'small', 'town', 'evil', 'businessman', 'reigns', 'like', 'tyrant.', 'cop', 'recognizes', 'businessman', ""father's"", 'murderer,', 'becomes', 'personal.']"
Kudrat,1998,"Action, Drama, Romance            ","Vijay and his family are humiliated by his fiancee Madhu's father, Sukhiram, who breaks their engagement. Perplexed, Vijay tries to find the reason behind it and is shocked by the revelations.",4.5,147,23,Raj N. Sippy,"Akshaye Khanna, Urmila Matondkar, Maya Alagh, Kannu Gill","['vijay', 'family', 'humiliated', 'fiancee', ""madhu's"", 'father,', 'sukhiram,', 'breaks', 'engagement.', 'perplexed,', 'vijay', 'tries', 'find', 'reason', 'behind', 'shocked', 'revelations.']"
Ek Hi Bhool,1981,"Drama, Family, Romance            ",Sadhana (Rekha) and Ramkumar (Jeetendra) are a married couple. Their marriage gets into troubled waters when Sadhana starts to suspect that Ramkumar is having an affair. Sadhana does not ...                See full summary »,5.8,147,40,Rama Rao Tatineni,"Jeetendra, Rekha, Nazneen, Shabana Azmi","['sadhana', '(rekha)', 'ramkumar', '(jeetendra)', 'married', 'couple.', 'marriage', 'gets', 'troubled', 'waters', 'sadhana', 'starts', 'suspect', 'ramkumar', 'affair.', 'sadhana', '...', 'see', 'full', 'summary', '»']"
Vishwanath,1978,"Action, Mystery, Thriller            ","An honest lawyer, Vishwanath is implicated and imprisoned at the behest of powerful underworld don, GNK and his associates. After his release from prison, Vishwanath decides to seek ...                See full summary »",6.2,147,43,Subhash Ghai,"Shatrughan Sinha, Reena Roy, Pran, Prem Nath","['honest', 'lawyer,', 'vishwanath', 'implicated', 'imprisoned', 'behest', 'powerful', 'underworld', 'don,', 'gnk', 'associates.', 'release', 'prison,', 'vishwanath', 'decides', 'seek', '...', 'see', 'full', 'summary', '»']"
Anubhav,1971,Drama            ,"Meeta Sen (Tanuja) and Amar Sen (Sanjeev Kumar) have been married for several years. Due to Amar's hectic work schedule, the couple have not had children, as there was no time for intimacy....                See full summary »",6.8,147,50,Basu Bhattacharya,"Sanjeev Kumar, Tanuja, Dinesh Thakur, A.K. Hangal","['meeta', 'sen', '(tanuja)', 'amar', 'sen', '(sanjeev', 'kumar)', 'married', 'several', 'years.', 'due', ""amar's"", 'hectic', 'work', 'schedule,', 'couple', 'children,', 'time', 'intimacy....', 'see', 'full', 'summary', '»']"
Nirdosh,2018,"Drama, Mystery, Thriller            ","Arbaaz Khan plays the role of the investigating officer in a murder case in which Manjari Fadnnis emerges as the prime suspect and is arrested. However, as events unfold, many possibilities and suspects come to the fore.",3.9,146,3,"s:Subroto Paul, Pradeep Rangwani","Ashmit Patel, Manjari Fadnnis, Manisha Kelkar, Akash Sinha","['arbaaz', 'khan', 'plays', 'role', 'investigating', 'officer', 'murder', 'case', 'manjari', 'fadnnis', 'emerges', 'prime', 'suspect', 'arrested.', 'however,', 'events', 'unfold,', 'many', 'possibilities', 'suspects', 'come', 'fore.']"
Kisse Pyaar Karoon?,2009,"Action, Comedy, Crime            ",Two men abduct a woman who wants to alienate them from their friend.,3.3,146,12,Ajay Chandhok,"Arshad Warsi, Aashish Chaudhary, Yash Tonk, Udita Goswami","['two', 'men', 'abduct', 'woman', 'wants', 'alienate', 'friend.']"
Jeete Hain Shaan Se,1988,"Action, Drama            ","Johny, Govinda, and Iqbal Ali are three close friends who live in a small community in Bombay. The threesome get together to help each other and other needy people in the community, and ...                See full summary »",4.7,146,33,Kawal Sharma,"Mithun Chakraborty, Sanjay Dutt, Govinda, Mandakini","['johny,', 'govinda,', 'iqbal', 'ali', 'three', 'close', 'friends', 'live', 'small', 'community', 'bombay.', 'threesome', 'get', 'together', 'help', 'needy', 'people', 'community,', '...', 'see', 'full', 'summary', '»']"
Baseraa,1981,"Drama, Family            ","Sharda and her sister Poornima alias Nima live with their widowed father. Since both have come of age, he first arranges Sharda's marriage with a businessman named Balraj Kohli. ...                See full summary »",6.8,146,40,Ramesh Talwar,"Shashi Kapoor, Rakhee Gulzar, Rekha, Poonam Dhillon","['sharda', 'sister', 'poornima', 'alias', 'nima', 'live', 'widowed', 'father.', 'since', 'come', 'age,', 'first', 'arranges', ""sharda's"", 'marriage', 'businessman', 'named', 'balraj', 'kohli.', '...', 'see', 'full', 'summary', '»']"
Supari,2003,"Action, Crime, Drama            ",Four friends are embroiled in Mumbai underworld and ends up becoming killers. However they succeed in their criminal tasks but soon realizes that they have to pay a heavy price for their deeds.,4.3,145,18,Padam Kumar,"Nandita Das, Uday Chopra, Rahul Dev, Purab Kohli","['four', 'friends', 'embroiled', 'mumbai', 'underworld', 'ends', 'becoming', 'killers.', 'however', 'succeed', 'criminal', 'tasks', 'soon', 'realizes', 'pay', 'heavy', 'price', 'deeds.']"
Drohi,1992,"Action, Crime, Romance            ","Whilst in hiding, a ruthless gangster falls in love with a young woman.",5.9,145,29,"s:Gurdip Singh, Ram Gopal Varma","Nagarjuna Akkineni, Urmila Matondkar, Danny Denzongpa, Salim Ghouse","['whilst', 'hiding,', 'ruthless', 'gangster', 'falls', 'love', 'young', 'woman.']"
Saajan Ka Ghar,1994,Drama            ,"The Dhanrajs are blessed with a daughter. However, during childbirth, Dhanraj's wife dies and he blames his daughter for his wife's fate. He refuses to see her face and remarries. His ...                See full summary »",4.9,145,27,Surendra Kumar Bohra,"Rishi Kapoor, Juhi Chawla, Deepak Tijori, Farheen","['dhanrajs', 'blessed', 'daughter.', 'however,', 'childbirth,', ""dhanraj's"", 'wife', 'dies', 'blames', 'daughter', ""wife's"", 'fate.', 'refuses', 'see', 'face', 'remarries.', '...', 'see', 'full', 'summary', '»']"
Allah-Rakha,1986,"Action, Drama            ","Karim Khan is employed as driver for a gangster named Don, who has an accident with his car, and asks Karim to take the blame for it for a hefty sum of cash, which Karim does so, and is ...                See full summary »",5.4,145,35,Ketan Desai,"Jackie Shroff, Shammi Kapoor, Waheeda Rehman, Biswajit Chatterjee","['karim', 'khan', 'employed', 'driver', 'gangster', 'named', 'don,', 'accident', 'car,', 'asks', 'karim', 'take', 'blame', 'hefty', 'sum', 'cash,', 'karim', 'so,', '...', 'see', 'full', 'summary', '»']"
Kohraa,1964,"Drama, Musical, Mystery            ","In this re-imagining of Du Maurier's Rebecca, a recently wed woman discovers the ghost of her husband's first wife still haunts their home.",6.7,145,57,Biren Nag,"Biswajit Chatterjee, Waheeda Rehman, Lalita Pawar, Tarun Bose","['re-imagining', 'du', ""maurier's"", 'rebecca,', 'recently', 'wed', 'woman', 'discovers', 'ghost', ""husband's"", 'first', 'wife', 'still', 'haunts', 'home.']"
Bulund,1993,Action            ,A blind lover is on revenge on the killer who raped and killed his love.,5.4,144,28,M.R. Shahjahan,"Somy Ali, Mohnish Bahl, Laxmikant Berde, Prem Chopra","['blind', 'lover', 'revenge', 'killer', 'raped', 'killed', 'love.']"
Motu Patlu: King of Kings,2016,"Animation, Adventure, Comedy            ","Motu and Patlu are best friends. When trouble engulfs the village, they team up to save the day.",6.7,144,5,Suhas Kadav,"Saurav Chakraborty, Vinay Pathak","['motu', 'patlu', 'best', 'friends.', 'trouble', 'engulfs', 'village,', 'team', 'save', 'day.']"
